name, category_name
walk,1
bike,1
elliptical,1
run,2
bike,2
elliptical,2
180 Degree Jump Squat,4
AB Bikes,5
Bench Hops,4
Bent Leg Sit Ups,5
Bent Leg Raises and Hip Lift,5
Bosu Burpees,6
Broad Jump Burpees,6
Burpees,6
Burpee Push Up Bench Jump,6
Commandos,5
Decline Push Ups,3
Double Bench Jumps,4
Drop Push Ups,3
Dumbbell Squat and Press,6
In Out Push Ups,3
Jump Lunges,4
Jump Squats,4
Knee Ups,4
Lay Down Push Ups,3
Lay Down Push Ups - Knees,3
Lay Down Push Up and Tuck Jump,6
Medicine Ball Crab Walks,6
Medicine Ball Squat Press,6
Mountain Climbers,6
Mountain Climbers and Push Ups,6
Plank,6
Plank on Knees,6
Push Ups,3
Push Ups on Knees,3
Raised Leg Sit Up and Twist,5
Reverse Lunge and Knee Lift with Step,4
Reverse Lunge and Knee Lift without Step,4
Scissor Kicks,6
Skipping,6
Snap Jumps,6
Snap Jumps and Knee Ups,6
Spider Push Ups,3
Split Squats,4
Squats,4
Step Ups without Weight,6
Step Ups with Weight,6
Straight Leg Jackknifes,5
Straight Leg Raises,5
Single Straight Leg Raises,5
Straight Leg Raises and Hip Lift,5
Straight Leg Sit Up,5
Straight Leg Sit Up with Twist,5
Stationary Lunges without Weights,4
Stationary Lunges with Weights,4
Sumo Jump Squats,4
Sumo Squats,4
Toe Taps,5
Tricep Dips,3
Tricep Dips with Feet Raised,3
Tuck Jumps,4
Walking Lunges without Weight,4
Walking Lunges with Weight,4
Weighted Bent Leg Jackknifes,6
Weighted Sumo Squats on Bench,6
Weighted Sumo Squats on Floor,6
X Hops,4
X Jumps,4
